student_id,first_name,last_name,gender,date_of_birth,year_group_id
118,Sara,Mohammed,Female,2007-02-14,1
139,Rohan,Singh,Male,2004-10-02,1
142,Pooja,Nair,Female,2007-09-16,1
145,Omar,Khalid,Male,2004-05-16,1
154,Priya,Sharma,Female,2006-07-22,1
158,Noor,Hamdan,Female,2004-09-27,1
162,Fatou,Camara,Female,2006-04-19,1
168,Layla,Farouk,Female,2006-01-25,1
173,Fatima,Ali,Female,2006-10-11,1
176,Aisha,Rahman,Female,2005-04-23,1
181,Ananya,Iyer,Female,2007-08-05,1
189,Salma,Nouri,Female,2007-06-13,1
191,Mariam,Saleh,Female,2007-05-30,1
197,Daniel,Kimani,Male,2004-06-14,1
209,Amina,Diallo,Female,2005-06-27,2
214,Ibrahim,Sule,Male,2006-02-09,2
223,Arjun,Patel,Male,2006-12-18,2
248,Sanjay,Malhotra,Male,2007-01-15,2
257,Nadia,Yakubu,Female,2006-04-01,2
266,Abdul,Nasser,Male,2005-08-24,2
279,Tunde,Adebayo,Male,2005-11-12,2
284,Moses,Otieno,Male,2007-03-10,2
287,Ahmed,Hassan,Male,2005-03-18,2
299,Yusuf,Abdullah,Male,2005-01-11,2
304,Musa,Lawal,Male,2004-07-08,3
312,Kunal,Mehta,Male,2005-09-07,3
318,Vikram,Joshi,Male,2004-02-19,3
326,Samuel,Okafor,Male,2006-10-29,3
331,Hannah,Bekele,Female,2006-06-09,3
341,Rahul,Verma,Male,2006-09-01,3
347,James,Otis,Male,2005-03-20,3
354,Nikhil,Reddy,Male,2006-03-04,3
359,Zainab,Abubakar,Female,2007-11-21,3
364,Kareem,Aziz,Male,2004-01-26,3
367,Salma,Youssef,Female,2005-02-28,3
375,Chinedu,Eze,Male,2004-12-03,3
381,Rashid,AlFarid,Male,2005-12-05,3
388,Neha,Gupta,Female,2005-07-30,3
392,Kwame,Mensah,Male,2004-11-09,3
395,Emeka,Obi,Male,2004-08-06,3
