student_id,student_name,overall_average_score
304,Musa Lawal,91.0
326,Samuel Okafor,91.0
367,Salma Youssef,90.0
181,Ananya Iyer,88.0
331,Hannah Bekele,88.0
347,James Otis,88.0
354,Nikhil Reddy,86.0
388,Neha Gupta,85.0
381,Rashid AlFarid,84.0
139,Rohan Singh,84.0
312,Kunal Mehta,83.0
189,Salma Nouri,83.0
341,Rahul Verma,82.0
191,Mariam Saleh,82.0
154,Priya Sharma,81.0
176,Aisha Rahman,80.0
279,Tunde Adebayo,79.0
162,Fatou Camara,79.0
142,Pooja Nair,78.0
197,Daniel Kimani,77.0
318,Vikram Joshi,77.0
284,Moses Otieno,76.0
118,Sara Mohammed,75.0
158,Noor Hamdan,74.0
359,Zainab Abubakar,74.0
173,Fatima Ali,73.0
299,Yusuf Abdullah,73.0
395,Emeka Obi,72.0
287,Ahmed Hassan,72.0
168,Layla Farouk,71.0
257,Nadia Yakubu,71.0
209,Amina Diallo,70.0
266,Abdul Nasser,69.0
214,Ibrahim Sule,69.0
392,Kwame Mensah,68.0
223,Arjun Patel,68.0
364,Kareem Aziz,67.0
145,Omar Khalid,66.0
248,Sanjay Malhotra,65.0
375,Chinedu Eze,64.0
