student_id,student_name,subject,average_subject_score
118,Sara Mohammed,Molecular Biology,75.0
139,Rohan Singh,Molecular Biology,84.0
142,Pooja Nair,Molecular Biology,78.0
145,Omar Khalid,Biochemistry,66.0
154,Priya Sharma,Molecular Biology,81.0
158,Noor Hamdan,Molecular Biology,74.0
162,Fatou Camara,Molecular Biology,79.0
168,Layla Farouk,Molecular Biology,71.0
173,Fatima Ali,Biochemistry,73.0
176,Aisha Rahman,Molecular Biology,80.0
181,Ananya Iyer,Molecular Biology,88.0
189,Salma Nouri,Molecular Biology,83.0
191,Mariam Saleh,Molecular Biology,82.0
197,Daniel Kimani,Molecular Biology,77.0
209,Amina Diallo,Physics,70.0
214,Ibrahim Sule,Physics,69.0
223,Arjun Patel,Physics,68.0
248,Sanjay Malhotra,Physics,65.0
257,Nadia Yakubu,Physics,71.0
266,Abdul Nasser,Physics,69.0
279,Tunde Adebayo,Physics,79.0
284,Moses Otieno,Physics,76.0
287,Ahmed Hassan,Physics,72.0
299,Yusuf Abdullah,Physics,73.0
304,Musa Lawal,Chemistry,91.0
312,Kunal Mehta,Chemistry,83.0
318,Vikram Joshi,Chemistry,77.0
326,Samuel Okafor,Chemistry,91.0
331,Hannah Bekele,Chemistry,88.0
341,Rahul Verma,Chemistry,82.0
347,James Otis,Chemistry,88.0
354,Nikhil Reddy,Chemistry,86.0
359,Zainab Abubakar,Chemistry,74.0
364,Kareem Aziz,Chemistry,67.0
367,Salma Youssef,Chemistry,90.0
375,Chinedu Eze,Chemistry,64.0
381,Rashid AlFarid,Chemistry,84.0
388,Neha Gupta,Chemistry,85.0
392,Kwame Mensah,Chemistry,68.0
395,Emeka Obi,Chemistry,72.0
